year_month,delay_status,region,orders,period
2016-09-01,long_delay,northwest,1,09-2016
2016-10-01,long_delay,northwest,1,10-2016
2017-01-01,long_delay,center-west,2,01-2017
2017-01-01,long_delay,northeast,4,01-2017
2017-01-01,long_delay,south,3,01-2017
2017-01-01,long_delay,northwest,11,01-2017
2017-02-01,long_delay,south,9,02-2017
2017-02-01,long_delay,northeast,8,02-2017
2017-02-01,long_delay,center-west,1,02-2017
2017-02-01,long_delay,northwest,26,02-2017
2017-03-01,long_delay,south,16,03-2017
2017-03-01,long_delay,northwest,36,03-2017
2017-03-01,long_delay,northeast,31,03-2017
2017-03-01,long_delay,north,6,03-2017
2017-03-01,long_delay,center-west,4,03-2017
2017-04-01,long_delay,center-west,3,04-2017
2017-04-01,long_delay,south,12,04-2017
2017-04-01,long_delay,northwest,62,04-2017
2017-04-01,long_delay,northeast,29,04-2017
2017-04-01,long_delay,north,2,04-2017
2017-05-01,long_delay,center-west,4,05-2017
2017-05-01,long_delay,north,2,05-2017
2017-05-01,long_delay,northeast,8,05-2017
2017-05-01,long_delay,northwest,62,05-2017
2017-05-01,long_delay,south,8,05-2017
2017-06-01,long_delay,south,6,06-2017
2017-06-01,long_delay,northwest,51,06-2017
2017-06-01,long_delay,northeast,12,06-2017
2017-06-01,long_delay,center-west,4,06-2017
2017-06-01,long_delay,north,2,06-2017
2017-07-01,long_delay,south,8,07-2017
2017-07-01,long_delay,center-west,3,07-2017
2017-07-01,long_delay,north,2,07-2017
2017-07-01,long_delay,northeast,31,07-2017
2017-07-01,long_delay,northwest,44,07-2017
2017-08-01,long_delay,center-west,3,08-2017
2017-08-01,long_delay,northeast,23,08-2017
2017-08-01,long_delay,northwest,46,08-2017
2017-08-01,long_delay,south,20,08-2017
2017-09-01,long_delay,northwest,65,09-2017
2017-09-01,long_delay,northeast,50,09-2017
2017-09-01,long_delay,north,4,09-2017
2017-09-01,long_delay,center-west,8,09-2017
2017-09-01,long_delay,south,11,09-2017
2017-10-01,long_delay,center-west,3,10-2017
2017-10-01,long_delay,north,4,10-2017
2017-10-01,long_delay,northeast,38,10-2017
2017-10-01,long_delay,south,15,10-2017
2017-10-01,long_delay,northwest,86,10-2017
2017-11-01,long_delay,northeast,118,11-2017
2017-11-01,long_delay,south,105,11-2017
2017-11-01,long_delay,northwest,447,11-2017
2017-11-01,long_delay,north,14,11-2017
2017-11-01,long_delay,center-west,36,11-2017
2017-12-01,long_delay,north,2,12-2017
2017-12-01,long_delay,northeast,46,12-2017
2017-12-01,long_delay,northwest,208,12-2017
2017-12-01,long_delay,south,43,12-2017
2017-12-01,long_delay,center-west,12,12-2017
2018-01-01,long_delay,center-west,11,01-2018
2018-01-01,long_delay,north,5,01-2018
2018-01-01,long_delay,northeast,50,01-2018
2018-01-01,long_delay,northwest,204,01-2018
2018-01-01,long_delay,south,57,01-2018
2018-02-01,long_delay,south,125,02-2018
2018-02-01,long_delay,northwest,491,02-2018
2018-02-01,long_delay,northeast,106,02-2018
2018-02-01,long_delay,center-west,40,02-2018
2018-02-01,long_delay,north,15,02-2018
2018-03-01,long_delay,northeast,181,03-2018
2018-03-01,long_delay,north,42,03-2018
2018-03-01,long_delay,northwest,665,03-2018
2018-03-01,long_delay,south,150,03-2018
2018-03-01,long_delay,center-west,49,03-2018
2018-04-01,long_delay,northeast,101,04-2018
2018-04-01,long_delay,center-west,8,04-2018
2018-04-01,long_delay,northwest,97,04-2018
2018-04-01,long_delay,north,22,04-2018
2018-04-01,long_delay,south,16,04-2018
2018-05-01,long_delay,south,36,05-2018
2018-05-01,long_delay,northwest,215,05-2018
2018-05-01,long_delay,northeast,68,05-2018
2018-05-01,long_delay,north,7,05-2018
2018-05-01,long_delay,center-west,16,05-2018
2018-06-01,long_delay,center-west,3,06-2018
2018-06-01,long_delay,northeast,22,06-2018
2018-06-01,long_delay,northwest,28,06-2018
2018-06-01,long_delay,south,4,06-2018
2018-07-01,long_delay,center-west,8,07-2018
2018-07-01,long_delay,south,14,07-2018
2018-07-01,long_delay,northwest,97,07-2018
2018-07-01,long_delay,northeast,33,07-2018
2018-07-01,long_delay,north,4,07-2018
2018-08-01,long_delay,center-west,3,08-2018
2018-08-01,long_delay,northeast,5,08-2018
2018-08-01,long_delay,northwest,198,08-2018
2018-08-01,long_delay,south,25,08-2018
